ID	logMb	logRb	minSigma	maxSigma
42.0	8.588235294117647	-0.65	3.8794434	8.51767

43.0	8.588235294117647	-0.6000000000000001	3.92732	8.43688

44.0	8.588235294117647	-0.55	3.9749427	8.358842

45.0	8.588235294117647	-0.5	4.0222807	8.28366

46.0	8.588235294117647	-0.45000000000000007	4.069302	8.211371

47.0	8.588235294117647	-0.4	4.115969	8.141938

48.0	8.588235294117647	-0.3500000000000001	4.162241	8.075247

49.0	8.588235294117647	-0.30000000000000004	4.208073	8.011137

50.0	8.588235294117647	-0.2500000000000001	4.253415	7.9493365

51.0	8.588235294117647	-0.20000000000000007	4.2982116	7.889553

52.0	8.588235294117647	-0.15000000000000002	4.3424015	7.8314457

53.0	8.588235294117647	-0.10000000000000009	4.385919	7.774648

54.0	8.588235294117647	-0.050000000000000044	4.4286895	7.7187886

55.0	8.588235294117647	-1.1102230246251565e-16	4.470633	7.66351

56.0	8.588235294117647	0.04999999999999982	4.511662	7.608463

57.0	8.588235294117647	0.09999999999999987	4.551681	7.5533247

58.0	8.588235294117647	0.1499999999999999	4.5905876	7.4978175

59.0	8.588235294117647	0.19999999999999996	4.6282697	7.4416947

60.0	8.588235294117647	0.25	4.664608	7.384741

61.0	8.588235294117647	0.2999999999999998	4.699476	7.3267865

62.0	8.588235294117647	0.34999999999999987	4.7327366	7.267694

63.0	8.588235294117647	0.3999999999999999	4.764248	7.207359

64.0	8.588235294117647	0.44999999999999996	4.7938595	7.1457086

65.0	8.588235294117647	0.4999999999999998	4.821416	7.0826964

66.0	8.588235294117647	0.5499999999999998	4.846757	7.018298

67.0	8.588235294117647	0.5999999999999999	4.869719	6.952509

68.0	8.588235294117647	0.6499999999999999	4.890137	6.88534

69.0	8.588235294117647	0.7	4.907847	6.8168154

70.0	8.676470588235293	-1.0	3.6273587	9.231989

71.0	8.676470588235293	-0.95	3.6764014	9.137626

72.0	8.676470588235293	-0.9	3.7253284	9.044533

73.0	8.676470588235293	-0.85	3.7741256	8.952917

74.0	8.676470588235293	-0.8	3.8227777	8.863021

75.0	8.676470588235293	-0.75	3.8712673	8.7750635

76.0	8.676470588235293	-0.7	3.9195752	8.689283

77.0	8.676470588235293	-0.65	3.9676793	8.605905

78.0	8.676470588235293	-0.6000000000000001	4.015556	8.525117

79.0	8.676470588235293	-0.55	4.0631785	8.447079

80.0	8.676470588235293	-0.5	4.110517	8.371896

81.0	8.676470588235293	-0.45000000000000007	4.157538	8.299607

82.0	8.676470588235293	-0.4	4.204205	8.230174

83.0	8.676470588235293	-0.3500000000000001	4.250477	8.163483

